	16_S3.tab	17_S4.tab	18_S1.tab	19_S2.tab	21_S3.tab	23_S3.tab	24_S2.tab	27_S1.tab	28_S4.tab	30_S3.tab	34_S1.tab	35_S4.tab	36_S1.tab	38_S2.tab	40_S2.tab	42_S3.tab	44_S3.tab	45_S1.tab	46_S4.tab	47_S4.tab	51_S2.tab	54_S4.tab	5_S1.tab	8_S2.tab
MULTISPECIES: glucose-1-phosphate cytidylyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucose-1-phosphate thymidylyltransferase	0	1.00	0	0	0	0	1.00	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glucose-6-phosphate dehydrogenase	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	1.00	0	1.00	0	0	3.00	0	1.00	0	1.00	1.00	1.00
MULTISPECIES: glucose-6-phosphate isomerase	1.00	0	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	5.00	0	0	0	0	0	0
MULTISPECIES: glucose-methanol-choline oxidoreductase	0	0	0	0	0	0	2.00	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glucose/galactose MFS transporter	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutaconate CoA-transferase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutaconate CoA-transferase subunit B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutamate 5-kinase	0	1.00	0	0	0	0	2.00	0	0	0	0	0	0	4.00	0	1.00	1.00	2.00	0	1.00	0	0	0	0
MULTISPECIES: glutamate carboxypeptidase	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate dehydrogenase	0	0	0	0	0	0	0	0	0	2.00	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: glutamate racemase	0	0	0	0	0	0	0	0	0	4.00	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	2.00
MULTISPECIES: glutamate synthase	0	2.00	0	2.00	0	0	2.00	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	1.00	0	0	0	1.00
MULTISPECIES: glutamate synthase large subunit	1.00	0	0	2.00	0	4.00	1.00	0	0	3.00	2.00	2.00	0	1.00	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate synthase operon protein GltF	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate synthase small subunit	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate synthase subunit alpha	0	0	0	0	1.00	0	10.00	0	0	0	0	1.00	0	2.00	0	2.00	1.00	2.00	0	0	0	0	0	0
MULTISPECIES: glutamate synthase subunit beta	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	2.00	0	2.00	0	0	0	0
MULTISPECIES: glutamate--cysteine ligase	0	0	1.00	0	0	3.00	4.00	0	0	5.00	0	0	1.00	1.00	0	1.00	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: glutamate--pyruvate aminotransferase AlaA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: glutamate--tRNA ligase	0	0	0	0	0	0	1.00	0	0	2.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutamate--tRNA ligase 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate-1-semialdehyde 2,1-aminomutase	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate-5-semialdehyde dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate/aspartate ABC transporter substrate-binding protein	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00
MULTISPECIES: glutamate/aspartate transporter permease GltK	0	0	0	0	0	2.00	0	0	0	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutamate/aspartate:proton symporter GltP	0	0	0	0	0	0	3.00	0	1.00	2.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamate:gamma-aminobutyrate antiporter	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutaminase	0	0	0	0	0	0	2.00	0	1.00	0	1.00	1.00	0	1.00	0	0	0	0	0	0	0	5.00	0	0
MULTISPECIES: glutamine ABC transporter permease	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamine amidotransferase	0	0	0	0	0	1.00	0	1.00	1.00	0	1.00	0	1.00	2.00	0	1.00	0	4.00	0	0	0	0	0	0
MULTISPECIES: glutamine synthetase	1.00	0	0	0	0	3.00	4.00	0	3.00	3.00	0	4.00	0	3.00	1.00	1.00	0	4.00	0	2.00	0	0	0	0
MULTISPECIES: glutamine synthetase 1	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamine--fructose-6-phosphate aminotransferase	0	0	0	0	0	0	3.00	0	1.00	0	0	1.00	0	1.00	0	2.00	1.00	5.00	0	0	1.00	0	0	0
MULTISPECIES: glutamine--fructose-6-phosphate transaminase (isomerizing)	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamine--tRNA ligase	0	0	0	3.00	0	1.00	1.00	0	1.00	1.00	1.00	1.00	0	0	0	1.00	1.00	3.00	0	0	0	0	0	0
MULTISPECIES: glutamine--tRNA ligase/YqeY domain fusion protein	0	0	0	1.00	0	1.00	3.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutamine-fructose-6-phosphate transaminase (isomerizing)	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutamine-synthetase adenylyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutamyl-tRNA reductase	1.00	0	0	1.00	1.00	0	2.00	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutaredoxin	0	0	0	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: glutaredoxin 3	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: glutaredoxin family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutathione ABC transporter ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione ABC transporter permease GsiC	0	0	0	0	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione ABC transporter permease GsiD	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutathione ABC transporter substrate-binding protein GsiB	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione S-transferase	1.00	0	1.00	1.00	1.00	3.00	6.00	0	0	3.00	0	3.00	2.00	3.00	1.00	2.00	0	7.00	0	2.00	0	2.00	0	2.00
MULTISPECIES: glutathione S-transferase family protein	0	1.00	0	0	0	0	3.00	0	0	2.00	0	2.00	0	1.00	0	1.00	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: glutathione peroxidase	0	0	0	0	0	0	2.00	0	0	1.00	0	0	1.00	0	0	0	0	3.00	0	0	0	0	0	0
MULTISPECIES: glutathione reductase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione synthase	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione transferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione transferase GstA	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione-dependent formaldehyde dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutathione-dependent formaldehyde-activating protein	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutathione-dependent reductase	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione-disulfide reductase	0	0	0	0	0	0	2.00	0	2.00	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glutathione-regulated potassium-efflux system ancillary protein KefG	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glutathione-regulated potassium-efflux system protein KefB	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerate 2-kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerate kinase	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	1.00
MULTISPECIES: glycerol acyltransferase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerol dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycerol kinase	0	0	0	0	1.00	0	1.00	0	0	0	3.00	0	1.00	0	1.00	0	1.00	2.00	0	0	0	0	0	0
MULTISPECIES: glycerol phosphate lipoteichoic acid synthase	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: glycerol-3-phosphatase	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate 1-O-acyltransferase	0	0	1.00	0	0	0	1.00	0	1.00	3.00	2.00	1.00	0	0	0	0	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: glycerol-3-phosphate ABC transporter substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate acyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate cytidylyltransferase	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate dehydrogenase	0	0	0	0	1.00	3.00	2.00	2.00	1.00	2.00	1.00	1.00	0	1.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate dehydrogenase/oxidase	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: glycerol-3-phosphate responsive antiterminator	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00
MULTISPECIES: glycerol-3-phosphate transporter	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate transporter membrane protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycerol-3-phosphate transporter permease	0	0	1.00	0	0	0	0	0	0	0	0	0	0	3.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycerophosphodiester phosphodiesterase	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycerophosphoryl diester phosphodiesterase	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0
MULTISPECIES: glycine C-acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: glycine betaine/L-proline ABC transporter ATP-binding protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0
MULTISPECIES: glycine cleavage system aminomethyltransferase T	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycine cleavage system protein H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: glycine cleavage system protein R	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: glycine cleavage system protein T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycine dehydrogenase	0	0	0	0	0	0	0	0	0	1.00	0	1.00	2.00	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycine dehydrogenase (aminomethyl-transferring)	0	0	0	0	0	0	0	0	1.00	0	0	0	0	3.00	0	1.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycine oxidase ThiO	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycine reductase complex selenoprotein B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: glycine zipper 2TM domain-containing protein	0	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	0	0	0	0	1.00	0	1.00	0	0	0	0
MULTISPECIES: glycine--tRNA ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	0	0
MULTISPECIES: glycine--tRNA ligase subunit alpha	0	0	0	0	0	1.00	6.00	0	0	2.00	0	1.00	0	2.00	0	2.00	0	4.00	0	0	0	0	0	0
MULTISPECIES: glycine--tRNA ligase subunit beta	0	0	0	1.00	0	1.00	6.00	0	0	1.00	0	0	0	5.00	1.00	0	0	3.00	0	1.00	0	0	0	0
MULTISPECIES: glycine/betaine ABC transporter ATP-binding protein	0	0	0	0	0	2.00	0	1.00	2.00	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0
MULTISPECIES: glycine/betaine ABC transporter ATPase	0	0	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycine/betaine ABC transporter permease	0	0	0	0	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	1.00	0	0	0	0	0
MULTISPECIES: glycine/betaine ABC transporter substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycogen debranching enzyme	0	1.00	0	0	0	0	0	0	0	0	1.00	2.00	0	0	0	1.00	0	0	0	2.00	0	0	0	0
MULTISPECIES: glycogen debranching enzyme GlgX	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycogen phosphorylase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycogen synthase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycogen-branching enzyme	0	0	0	0	0	1.00	0	0	1.00	1.00	2.00	0	1.00	0	0	2.00	0	2.00	0	1.00	0	1.00	0	0
MULTISPECIES: glycogen/starch/alpha-glucan family phosphorylase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0
MULTISPECIES: glycogen/starch/alpha-glucan phosphorylase	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycolate oxidase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycolate oxidase iron-sulfur subunit	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: glycolate oxidase subunit GlcD	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycolate oxidase subunit GlcE	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycoside hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	2.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycoside hydrolase 68 family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: glycoside hydrolase family 88 protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycosyhydrolase	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyl hydrolase	0	1.00	0	0	0	2.00	0	0	0	0	0	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycosyl hydrolase 43 family protein	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyl transferase	0	2.00	0	1.00	0	2.00	2.00	0	2.00	8.00	0	1.00	1.00	1.00	1.00	1.00	0	2.00	2.00	1.00	0	2.00	0	0
MULTISPECIES: glycosyl transferase family 1	0	2.00	0	1.00	0	1.00	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyl transferase family 2	0	0	0	0	1.00	0	1.00	0	0	1.00	0	0	0	1.00	0	2.00	0	1.00	0	0	0	0	1.00	0
MULTISPECIES: glycosyl transferase family 2-protein	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyl transferase family 51	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyltransferase	1.00	0	0	0	0	0	4.00	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0
MULTISPECIES: glycosyltransferase WbuB	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glycosyltransferase family 1 protein	0	0	0	0	1.00	0	6.00	0	1.00	3.00	0	0	0	2.00	1.00	3.00	0	5.00	0	2.00	0	1.00	0	0
MULTISPECIES: glycosyltransferase family 2 protein	0	0	0	0	0	1.00	1.00	0	3.00	0	0	0	2.00	0	0	1.00	1.00	1.00	0	0	0	0	0	0
MULTISPECIES: glycosyltransferase family 4 protein	1.00	0	0	0	0	0	1.00	1.00	0	1.00	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glycosyltransferase family 8 protein	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: glyoxalase	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	4.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: glyoxalase/bleomycin resistance/dioxygenase family protein	0	0	0	0	0	0	2.00	0	0	1.00	0	1.00	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: glyoxalase/bleomycin resistance/extradiol dioxygenase family protein	0	0	0	0	0	0	0	1.00	0	0	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: glyoxylate carboligase	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: group II intron reverse transcriptase/maturase	0	0	0	0	0	0	1.00	0	1.00	4.00	1.00	0	0	1.00	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: guanine deaminase	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: guanine permease	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: guanine/hypoxanthine permease GhxP	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: guanosine monophosphate reductase	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: guanylate kinase	2.00	0	1.00	1.00	0	0	1.00	1.00	0	2.00	0	0	0	0	0	1.00	0	2.00	0	0	1.00	0	0	0
MULTISPECIES: haloacid dehalogenase	0	0	0	0	1.00	1.00	4.00	0	0	3.00	0	1.00	0	0	0	1.00	0	4.00	0	1.00	0	1.00	0	1.00
MULTISPECIES: haloacid dehalogenase type II	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: haloacid dehalogenase-like hydrolase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: haloalkane dehalogenase	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: head decoration protein, partial	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heat-inducible transcriptional repressor HrcA	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	2.00	0	2.00	0	2.00	0	1.00	0	0	0	0
MULTISPECIES: heat-shock protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heat-shock protein Hsp20	0	0	0	0	0	1.00	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: heat-shock protein HtpX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: heavy metal translocating P-type ATPase	0	1.00	0	1.00	1.00	1.00	7.00	0	1.00	8.00	4.00	2.00	3.00	3.00	0	7.00	0	5.00	0	0	0	0	0	0
MULTISPECIES: heavy metal transporter	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: helicase	0	0	0	0	0	2.00	0	0	2.00	3.00	2.00	1.00	1.00	3.00	0	1.00	0	5.00	0	2.00	0	0	0	0
MULTISPECIES: helix-turn-helix domain-containing protein	0	0	0	0	0	0	5.00	0	1.00	4.00	0	0	0	1.00	0	1.00	0	2.00	0	0	0	0	0	0
MULTISPECIES: helix-turn-helix transcriptional regulator	0	0	0	0	0	0	0	0	0	1.00	0	0	0	2.00	0	0	0	1.00	0	0	0	0	0	1.00
MULTISPECIES: heme A synthase	1.00	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme ABC exporter ATP-binding protein CcmA	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme ABC exporter, ATP-binding protein CcmA	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme ABC transporter ATP-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0
MULTISPECIES: heme ABC transporter permease	0	0	0	0	0	1.00	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme biosynthesis protein HemY	0	0	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	0	3.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: heme exporter protein CcmB	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme oxygenase	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heme-binding protein	0	0	0	0	0	0	5.00	0	0	1.00	1.00	1.00	0	1.00	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: heme-degrading domain-containing protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: hemerythrin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: hemimethylated DNA-binding domain-containing protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0
MULTISPECIES: hemin ABC transporter substrate-binding protein	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: hemin transporter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: hemolysin	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0
MULTISPECIES: hemolysin D	1.00	0	0	0	0	0	2.00	0	0	0	0	0	1.00	0	0	2.00	0	1.00	0	0	0	0	0	0
MULTISPECIES: hemolysin expression-modulating protein Hha	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: hemolysin secretion protein D	0	0	0	0	0	0	1.00	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heparinase	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: heptose kinase WapP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0
MULTISPECIES: high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: high-affinity choline transporter BetT	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MULTISPECIES: histidine ABC transporter permease	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0
MULTISPECIES: histidine ABC transporter substrate-binding protein	0	0	0	0	0	1.00	0	0	1.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0
